user_id,item_id,hour,added
724,123,13,1
724,151,13,1
724,184,13,0
724,158,13,0
722,54,15,1
722,50,15,1
722,199,15,0
722,27,15,0
90,167,8,1
90,69,8,1
90,49,8,0
90,174,8,0
181,118,10,1
181,97,10,1
181,198,10,0
181,17,10,0
61,33,17,1
61,12,17,1
61,175,17,0
61,98,17,0
979,190,10,1
979,35,10,1
979,145,10,0
979,30,10,0
328,71,17,1
328,107,17,1
328,105,17,0
328,77,17,0
51,195,22,1
51,163,22,1
51,57,22,0
51,180,22,0
892,19,11,1
892,53,11,1
892,111,11,0
892,83,11,0
228,1,15,1
228,133,15,1
228,3,15,0
228,125,15,0
199,82,18,1
199,23,18,1
199,141,18,0
199,48,18,0
331,180,15,1
331,123,15,1
331,52,15,0
331,62,15,0
50,103,11,1
50,124,11,1
50,107,11,0
50,144,11,0
136,71,18,1
136,89,18,1
136,3,18,0
136,84,18,0
843,194,11,1
843,57,11,1
843,115,11,0
843,22,11,0
374,114,23,1
374,51,23,1
374,165,23,0
374,163,23,0
176,168,18,1
176,87,18,1
176,27,18,0
176,23,18,0
784,185,15,1
784,161,15,1
784,134,15,0
784,0,15,0
446,126,13,1
446,168,13,1
446,132,13,0
446,169,13,0
90,189,9,1
90,123,9,1
90,134,9,0
90,139,9,0
27,65,13,1
27,76,13,1
27,151,13,0
27,178,13,0
715,75,15,1
715,26,15,1
715,31,15,0
715,110,15,0
990,102,17,1
990,82,17,1
990,135,17,0
990,116,17,0
659,121,15,1
659,32,15,1
659,31,15,0
659,169,15,0
996,133,14,1
996,12,14,1
996,16,14,0
996,65,14,0
736,127,11,1
736,50,11,1
736,45,11,0
736,113,11,0
696,159,8,1
696,63,8,1
696,113,8,0
696,62,8,0
578,87,15,1
578,186,15,1
578,105,15,0
578,125,15,0
935,25,8,1
935,6,8,1
935,153,8,0
935,68,8,0
948,42,12,1
948,85,12,1
948,154,12,0
948,187,12,0
705,122,14,1
705,127,14,1
705,190,14,0
705,34,14,0
442,73,17,1
442,154,17,1
442,91,17,0
442,88,17,0
830,130,13,1
830,192,13,1
830,180,13,0
830,57,13,0
255,109,15,1
255,179,15,1
255,61,15,0
255,117,15,0
712,142,9,1
712,136,9,1
712,163,9,0
712,186,9,0
637,97,9,1
637,59,9,1
637,125,9,0
637,86,9,0
849,193,16,1
849,77,16,1
849,114,16,0
849,110,16,0
712,1,14,1
712,123,14,1
712,55,14,0
712,102,14,0
277,180,16,1
277,79,16,1
277,141,16,0
277,116,16,0
463,153,22,1
463,30,22,1
463,44,22,0
463,151,22,0
200,12,20,1
200,165,20,1
200,80,20,0
200,70,20,0
28,186,23,1
28,70,23,1
28,107,23,0
28,73,23,0
277,44,9,1
277,25,9,1
277,63,9,0
277,139,9,0
63,179,8,1
63,94,8,1
63,168,8,0
63,16,8,0
11,104,12,1
11,23,12,1
11,28,12,0
11,76,12,0
33,52,19,1
33,124,19,1
33,142,19,0
33,84,19,0
366,68,16,1
366,152,16,1
366,39,16,0
366,159,16,0
904,142,19,1
904,99,19,1
904,113,19,0
904,133,19,0
394,165,21,1
394,11,21,1
394,11,21,0
394,38,21,0
812,193,13,1
812,70,13,1
812,70,13,0
812,88,13,0
951,50,12,1
951,199,12,1
951,181,12,0
951,0,12,0
51,150,14,1
51,83,14,1
51,119,14,0
51,125,14,0
796,77,20,1
796,17,20,1
796,32,20,0
796,134,20,0
454,144,14,1
454,41,14,1
454,59,14,0
454,120,14,0
690,0,18,1
690,126,18,1
690,70,18,0
690,179,18,0
885,135,21,1
885,43,21,1
885,170,21,0
885,49,21,0
415,146,11,1
415,5,11,1
415,114,11,0
415,161,11,0
272,197,21,1
272,101,21,1
272,14,21,0
272,116,21,0
907,199,21,1
907,78,21,1
907,103,21,0
907,114,21,0
554,151,21,1
554,104,21,1
554,42,21,0
554,70,21,0
833,47,8,1
833,23,8,1
833,12,8,0
833,163,8,0
280,10,18,1
280,192,18,1
280,139,18,0
280,175,18,0
910,66,17,1
910,106,17,1
910,73,17,0
910,8,17,0
654,145,13,1
654,6,13,1
654,131,13,0
654,113,13,0
99,78,17,1
99,17,17,1
99,150,17,0
99,134,17,0
797,122,21,1
797,142,21,1
797,78,21,0
797,157,21,0
143,11,11,1
143,157,11,1
143,7,11,0
143,85,11,0
985,123,14,1
985,170,14,1
985,178,14,0
985,161,14,0
327,27,15,1
327,39,15,1
327,53,15,0
327,165,15,0
309,103,14,1
309,84,14,1
309,111,14,0
309,159,14,0
587,45,17,1
587,113,17,1
587,26,17,0
587,175,17,0
899,64,22,1
899,96,22,1
899,32,22,0
899,98,22,0
151,44,11,1
151,52,11,1
151,154,11,0
151,74,11,0
734,11,9,1
734,189,9,1
734,183,9,0
734,79,9,0
785,59,23,1
785,173,23,1
785,87,23,0
785,170,23,0
473,193,12,1
473,24,12,1
473,104,12,0
473,102,12,0
116,112,12,1
116,92,12,1
116,10,12,0
116,158,12,0
